Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Blake Jarwin (19363347),Blake Jarwin,19363347,CPT,4500,PHI@DAL 09/27/2021 08:15PM ET,DAL,5.85
WR,Cedrick Wilson (19363287),Cedrick Wilson,19363287,FLEX,4400,PHI@DAL 09/27/2021 08:15PM ET,DAL,4.95
K,Greg Zuerlein (19363288),Greg Zuerlein,19363288,FLEX,4000,PHI@DAL 09/27/2021 08:15PM ET,DAL,11
K,Jake Elliott (19363289),Jake Elliott,19363289,FLEX,3800,PHI@DAL 09/27/2021 08:15PM ET,PHI,5.5
DST,Cowboys  (19363290),Cowboys ,19363290,FLEX,3400,PHI@DAL 09/27/2021 08:15PM ET,DAL,7
TE,Zach Ertz (19363348),Zach Ertz,19363348,CPT,3300,PHI@DAL 09/27/2021 08:15PM ET,PHI,3.5
DST,Eagles  (19363291),Eagles ,19363291,FLEX,3200,PHI@DAL 09/27/2021 08:15PM ET,PHI,5.5
TE,Blake Jarwin (19363292),Blake Jarwin,19363292,FLEX,3000,PHI@DAL 09/27/2021 08:15PM ET,DAL,5.85
WR,Greg Ward (19363349),Greg Ward,19363349,CPT,2400,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
TE,Zach Ertz (19363293),Zach Ertz,19363293,FLEX,2200,PHI@DAL 09/27/2021 08:15PM ET,PHI,3.5
WR,Greg Ward (19363294),Greg Ward,19363294,FLEX,1600,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
RB,Boston Scott (19363350),Boston Scott,19363350,CPT,1500,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,JJ Arcega-Whiteside (19363351),JJ Arcega-Whiteside,19363351,CPT,1200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
TE,Richard Rodgers (19363352),Richard Rodgers,19363352,CPT,1200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
RB,Boston Scott (19363295),Boston Scott,19363295,FLEX,1000,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,JJ Arcega-Whiteside (19363296),JJ Arcega-Whiteside,19363296,FLEX,800,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
TE,Richard Rodgers (19363297),Richard Rodgers,19363297,FLEX,800,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
RB,Corey Clement (19363353),Corey Clement,19363353,CPT,600,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
RB,Corey Clement (19363298),Corey Clement,19363298,FLEX,400,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,Michael Gallup (19363354),Michael Gallup,19363354,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,7.6
RB,Sewo Olonilua (19363355),Sewo Olonilua,19363355,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,Travis Fulgham (19363356),Travis Fulgham,19363356,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,Robert Foster (19363357),Robert Foster,19363357,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Nick Ralston (19363358),Nick Ralston,19363358,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,Michael Walker (19363359),Michael Walker,19363359,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,Brandon Smith (19363360),Brandon Smith,19363360,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
RB,JaQuan Hardy (19363361),JaQuan Hardy,19363361,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
RB,Jason Huntley (19363362),Jason Huntley,19363362,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
TE,Ian Bunting (19363363),Ian Bunting,19363363,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,Simi Fehoko (19363364),Simi Fehoko,19363364,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Jason Croom (19363365),Jason Croom,19363365,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,Noah Brown (19363366),Noah Brown,19363366,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
RB,Rico Dowdle (19363367),Rico Dowdle,19363367,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Jack Stoll (19363368),Jack Stoll,19363368,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,Damion Ratley (19363369),Damion Ratley,19363369,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Jeremy Sprinkle (19363370),Jeremy Sprinkle,19363370,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,John Hightower (19363371),John Hightower,19363371,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
RB,Jordan Howard (19363372),Jordan Howard,19363372,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,KeeSean Johnson (19363373),KeeSean Johnson,19363373,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
TE,Nick Eubanks (19363374),Nick Eubanks,19363374,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,T.J. Vasher (19363375),T.J. Vasher,19363375,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,Malik Turner (19363376),Malik Turner,19363376,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Tyree Jackson (19363377),Tyree Jackson,19363377,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
TE,Sean McKeon (19363378),Sean McKeon,19363378,CPT,300,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,Michael Gallup (19363299),Michael Gallup,19363299,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,7.6
RB,Sewo Olonilua (19363300),Sewo Olonilua,19363300,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
