PlayerName,PointCostRatio_x,PointCostRatio_y,Average,StandardDeviation
Russell Westbrook ,56.608036624452716,12.606391760416328,56.608036624452716,12.606391760416328
Ty Jerome ,55.25293653379729,21.725725136278815,55.25293653379729,21.725725136278815
Nikola Jokić ,53.88348981125034,11.789332762890734,53.88348981125034,11.789332762890734
Kevin Porter Jr. ,53.5538728908041,33.74213436000979,53.5538728908041,33.74213436000979
Kelly Olynyk ,53.444172366069814,21.305469012431455,53.444172366069814,21.305469012431455
Mason Plumlee ,53.20054691904507,19.662143624320198,53.20054691904507,19.662143624320198
T.J. McConnell ,52.87896863152652,20.38147319980341,52.87896863152652,20.38147319980341
Al Horford ,52.34848050132992,18.573917052994545,52.34848050132992,18.573917052994545
Trevor Ariza ,52.32660797691189,25.546529281072385,52.32660797691189,25.546529281072385
Thaddeus Young ,52.3227186311318,17.032881269418723,52.3227186311318,17.032881269418723
Domantas Sabonis ,52.24231345365093,13.496252704300948,52.24231345365093,13.496252704300948
Nicolas Claxton ,52.058003434011496,25.725604084355666,52.058003434011496,25.725604084355666
Darius Garland ,52.00313659659028,17.933510506114157,52.00313659659028,17.933510506114157
Cody Zeller ,52.00184181763717,23.813775295245478,52.00184181763717,23.813775295245478
Cameron Payne ,51.83032066295594,28.127788739245787,51.83032066295594,28.127788739245787
James Harden ,51.82177265345152,15.166004890649061,51.82177265345152,15.166004890649061
Jonas Valančiūnas ,51.819765398364886,16.267515092455326,51.819765398364886,16.267515092455326
Dewayne Dedmon ,51.806141090355986,22.64133830753383,51.806141090355986,22.64133830753383
Julius Randle ,51.73006136274692,12.029229065146849,51.73006136274692,12.029229065146849
Jaylen Brown ,51.72147201416141,12.863433021748287,51.72147201416141,12.863433021748287
Clint Capela ,51.65868279492501,16.559664873457127,51.65868279492501,16.559664873457127
Kemba Walker ,51.63489455775357,13.231222666150407,51.63489455775357,13.231222666150407
Bogdan Bogdanović ,51.542638913028625,20.65560808527265,51.542638913028625,20.65560808527265
Donovan Mitchell ,51.52115792116944,11.956452062411792,51.52115792116944,11.956452062411792
Oshae Brissett ,51.52059655289288,39.747383179844235,51.52059655289288,39.747383179844235
Nikola Vučević ,51.516574514923505,12.54214063219482,51.516574514923505,12.54214063219482
Stephen Curry ,51.476465977117954,11.923489317105052,51.476465977117954,11.923489317105052
Robert Williams ,51.46993530246498,25.270094768413177,51.46993530246498,25.270094768413177
Jimmy Butler ,51.466417998402264,13.786499700483501,51.466417998402264,13.786499700483501
Giannis Antetokounmpo ,51.46432368816526,13.208124186738724,51.46432368816526,13.208124186738724
