,index_x,PlayerName,Average,StandardDeviation,Average_STD_Ratio,GamesPlayed,level_0,index_y,Unnamed: 0,Name,Pos.,Height,From,To,Seasons
31,35,Chris Paul,51.35518940994424,15.127947341054638,3.3947229093384745,66,380,380,4,Chris Paul,PG,1.85/ 6'1'',2005,2021,16
32,36,Isaiah Stewart,51.33283880571133,23.424259988224346,2.191439082025087,67,445,445,23,Isaiah Stewart,C,2.06/ 6'9'',2020,2021,1
33,37,Armoni Brooks,51.29408585416131,26.617146543694915,1.9271068658677044,20,63,63,41,Armoni Brooks,PG/SG,1.91/ 6'3'',2020,2021,1
34,38,Pascal Siakam,51.27164859136859,17.10777383557348,2.9969795652053572,56,432,432,10,Pascal Siakam,PF,2.06/ 6'9'',2016,2021,5
35,39,Rudy Gobert,51.08282939715733,13.426090046585157,3.8047435418586315,69,167,167,15,Rudy Gobert,C,2.16/ 7'1'',2013,2021,8
36,40,OG Anunoby,51.05174634638338,16.114955175304846,3.1679732143851673,43,15,15,15,OG Anunoby,SF/PF,2.01/ 6'7'',2017,2021,4
37,41,Harrison Barnes,51.021904557605374,16.934539389110444,3.0128900104843956,57,29,29,7,Harrison Barnes,SF/PF,2.03/ 6'8'',2012,2021,9
38,42,De'Aaron Fox,51.01102289197357,15.79254980701113,3.2300688308943712,57,150,150,8,De'Aaron Fox,PG,1.91/ 6'3'',2017,2021,4
39,43,Evan Fournier,50.845105317717625,21.31766252579991,2.385116344542083,40,149,149,7,Evan Fournier,SG/SF,2.01/ 6'7'',2012,2021,9
40,44,Anthony Edwards,50.78723086285735,16.60254424024679,3.059002893047097,71,135,135,0,Anthony Edwards,SG/SF,1.98/ 6'6'',2020,2021,1
