PlayerName,PointCostRatio
Cameron Johnson ,46.76816809832066
Devin Booker ,46.72214760947361
Aleksej Pokusevski ,46.66181551800846
Dwight Howard ,46.63010012456208
Rajon Rondo ,46.575462081839234
Jaren Jackson Jr. ,46.532626818361884
Jay Scrubb ,46.51785714285714
Alex Caruso ,46.48614863401985
Coby White ,46.47203875720277
Marcus Morris ,46.46238915961002
Lauri Markkanen ,46.38773300564088
Duncan Robinson ,46.387671982191975
Isaiah Roby ,46.34266135754789
Monte Morris ,46.325584465155956
Jarrett Allen ,46.31920664013877
Ricky Rubio ,46.30155574874978
Kristaps Porziņģis ,46.2570591377165
Sterling Brown ,46.215966714816716
Ivica Zubac ,46.21307811510785
Tristan Thompson ,46.18334691478471
Kevin Huerter ,46.117851643367416
Sviatoslav Mykhailiuk ,46.116030909771574
Bojan Bogdanović ,46.10130072960091
Ish Smith ,46.04225722321533
Seth Curry ,46.0405556789045
Robin Lopez ,46.01139851548637
Keldon Johnson ,45.99001817659762
PJ Dozier ,45.94159597199875
Eric Bledsoe ,45.89595576810432
Dario Šarić ,45.85447543473953
Will Barton ,45.83279956718823
Gary Trent Jr. ,45.776170733924644
JaMychal Green ,45.7711547376054
Alize Johnson ,45.76751992663094
Pat Connaughton ,45.752517435856134
Nicolas Batum ,45.70780393495519
Jarred Vanderbilt ,45.677908135846
Drew Eubanks ,45.67269117386582
Jordan Poole ,45.647146007880885
Patrick Williams ,45.62634729798477
Chuma Okeke ,45.48755300740418
Facundo Campazzo ,45.47126973807395
Dennis Smith Jr. ,45.46654177471011
Mo Bamba ,45.45192437558456
Patty Mills ,45.35515330133467
Kenrich Williams ,45.33421804082756
DeAndre Jordan ,45.298889576572755
Gorgui Dieng ,45.27387236805622
Maxi Kleber ,45.26995143017339
Furkan Korkmaz ,45.258176794376304
DeAndre' Bembry ,45.24617993677126
John Collins ,45.19955413386867
Wayne Ellington ,45.15297865609715
Robert Covington ,45.14447590645336
Serge Ibaka ,45.11598229601341
Michael Carter-Williams ,45.00285754896356
Jeff Green ,44.983219336572226
Eric Gordon ,44.94267501675319
Torrey Craig ,44.876734716246624
Kevin Love ,44.854736247102345
Terrence Ross ,44.743864753013106
Markelle Fultz ,44.73411172968286
Steven Adams ,44.55831511616582
Jordan Nwora ,44.54775980758964
Immanuel Quickley ,44.54511827765505
Kent Bazemore ,44.45981444951236
Raul Neto ,44.45291681179297
Reggie Jackson ,44.393001410375874
George Hill ,44.38521613258767
Joe Harris ,44.32619134283043
Blake Griffin ,44.32288502943922
Danilo Gallinari ,44.319114380187834
D.J. Augustin ,44.2701063936469
Jaxson Hayes ,44.26284695433737
Andre Iguodala ,44.25629213723548
Kyle Kuzma ,44.207545250097326
James Wiseman ,44.14818278119552
Marc Gasol ,44.14778130715339
Garrett Temple ,44.09386657981189
Jordan McLaughlin ,44.07639484011543
Ben Simmons ,44.04930906039134
Terance Mann ,44.0480696619273
Malik Monk ,44.03024356820223
Patrick Beverley ,44.023013696814175
Mitchell Robinson ,44.00251455099715
Rui Hachimura ,43.9851646350973
Jaden McDaniels ,43.93229068115991
Dwayne Bacon ,43.89063405081007
Goga Bitadze ,43.72748451605507
James Ennis ,43.705707056662746
Cedi Osman ,43.55249276667179
Bismack Biyombo ,43.48329185256551
Marquese Chriss ,43.401162790697676
Kira Lewis Jr. ,43.34931350774176
Anthony Davis ,43.329951633020286
Dāvis Bertāns ,43.31645578656506
LaMarcus Aldridge ,43.26959352980885
Bryn Forbes ,43.21573878173572
Xavier Tillman Sr. ,43.19955046916475
Montrezl Harrell ,43.159175807993826
Terence Davis ,43.12073478591246
Lonnie Walker ,43.07880893722822
Alex Len ,43.05368019472054
Larry Nance Jr. ,43.01220860730415
Tyus Jones ,42.983457078662056
Malachi Flynn ,42.9428199834069
James Johnson ,42.849647922299646
Dwight Powell ,42.84739382036084
Saben Lee ,42.813666670797424
Kevon Looney ,42.76576170610373
Aaron Holiday ,42.64227472938333
Elfrid Payton ,42.587470366390086
Frank Jackson ,42.523313168721366
Aron Baynes ,42.518065659221946
Brad Wanamaker ,42.3119701030088
Juan Hernangómez ,42.25272581570422
Payton Pritchard ,42.21844443003709
Tyrese Maxey ,42.20236476238425
Al-Farouq Aminu ,42.136628468816276
Landry Shamet ,42.09993551418992
Anfernee Simons ,42.01977603678881
Aaron Gordon ,41.90794002938503
Jaylen Nowell ,41.871644106534255
Lou Williams ,41.78991778098966
Damion Lee ,41.773726052126456
Ignas Brazdeikis ,41.593183517525624
R.J. Hampton ,41.563556982517476
Jeff Teague ,41.45748259716349
Gary Harris ,41.35834904590089
Damian Jones ,41.355788545868
Abdel Nader ,41.21294839036774
Chimezie Metu ,41.174816376966724
Eric Paschall ,41.138206469772726
Danuel House ,41.00508469107466
Matisse Thybulle ,40.84621665644038
Denzel Valentine ,40.712095972252214
Isaiah Hartenstein ,40.693042938931036
Austin Rivers ,40.68415075508913
Willie Cauley-Stein ,40.5614074352891
Otto Porter ,40.45339766917601
Luke Kennard ,40.39845832723742
Nemanja Bjelica ,40.26155394853862
Ben McLemore ,40.19364951526145
Justin Jackson ,40.15946961205151
Jaylen Hoard ,40.1078217162453
Thomas Bryant ,40.091129269793875
Deni Avdija ,40.06671418398153
Jalen McDaniels ,39.86394178766122
Dean Wade ,39.517347889968114
D.J. Wilson ,39.509500476238166
Moritz Wagner ,39.481998988249245
Derrick Jones Jr. ,39.318112395263306
Georges Niang ,39.18096847297329
Josh Okogie ,39.16131122255778
Devin Vassell ,39.15131937859334
Chasson Randle ,38.90620094512941
Damyean Dotson ,38.83660061818143
Edmond Sumner ,38.82843293711724
Jerome Robinson ,38.73845598845598
Avery Bradley ,38.552591707649846
