,Name,Pos.,Height,From,To,Seasons
25,Jeff Green,PF,2.03/ 6'8'',2007,2021,13
26,Josh Green,SF/PF,1.98/ 6'6'',2020,2021,1
27,Blake Griffin,PF/C,2.06/ 6'9'',2010,2021,11
0,Rui Hachimura,PF/C,2.03/ 6'8'',2019,2021,2
1,Tyrese Haliburton,SG/PG,1.96/ 6'5'',2020,2021,1
2,R.J. Hampton,SG/PG,1.98/ 6'6'',2020,2021,1
3,Tim Hardaway Jr.,SG/SF,1.96/ 6'5'',2013,2021,8
4,James Harden,PG/SG,1.96/ 6'5'',2009,2021,12
5,Moe Harkless,PF/SF,2.01/ 6'7'',2012,2021,9
6,Jared Harper,PG,1.78/ 5'10'',2019,2021,2
7,Montrezl Harrell,C/PF,2.01/ 6'7'',2015,2021,6
8,Gary Harris,SG/SF,1.93/ 6'4'',2014,2021,7
9,Joe Harris,SF/SG,1.98/ 6'6'',2014,2021,7
10,Tobias Harris,PF/SF,2.02/ 6'8'',2011,2021,10
11,Josh Hart,SF/SG,1.96/ 6'5'',2017,2021,4
12,Isaiah Hartenstein,C,2.13/ 7'0'',2018,2021,3
13,Udonis Haslem,C,2.03/ 6'8'',2003,2021,18
15,Jaxson Hayes,C,2.11/ 6'11'',2019,2021,2
16,Killian Hayes,PG,1.96/ 6'5'',2020,2021,1
17,Gordon Hayward,SF/PF,2.01/ 6'7'',2010,2021,11
19,Juancho Hernangómez,PF/SF,2.06/ 6'9'',2016,2021,5
20,Willy Hernangómez,C,2.11/ 6'11'',2016,2021,5
21,Tyler Herro,PG/SG,1.96/ 6'5'',2019,2021,2
22,Buddy Hield,SG/SF,1.93/ 6'4'',2016,2021,5
23,Haywood Highsmith,SF/PF,2.01/ 6'7'',2018,2019,1
24,George Hill,PG/SG,1.91/ 6'3'',2008,2021,13
25,Solomon Hill,PF/SF,1.98/ 6'6'',2013,2021,8
26,Nate Hinton,SG/SF,1.96/ 6'5'',2020,2021,1
27,Aaron Holiday,PG,1.83/ 6'0'',2018,2021,3
28,Jrue Holiday,PG/SG,1.91/ 6'3'',2009,2021,12
29,Justin Holiday,SF/SG,1.98/ 6'6'',2012,2021,8
30,Richaun Holmes,C,2.08/ 6'10'',2015,2021,6
32,Rodney Hood,SF/SG,2.03/ 6'8'',2014,2021,7
33,Al Horford,C/PF,2.06/ 6'9'',2007,2021,14
34,Talen Horton-Tucker,SG/SF,1.93/ 6'4'',2019,2021,2
35,Danuel House,SF/PF,1.98/ 6'6'',2016,2021,5
36,Dwight Howard,C,2.11/ 6'11'',2004,2021,17
37,Markus Howard,PG,1.80/ 5'11'',2020,2021,1
38,Kevin Huerter,SF/SG,2.01/ 6'7'',2018,2021,3
39,Elijah Hughes,SF,1.98/ 6'6'',2020,2021,1
40,De'Andre Hunter,SF/PF,2.01/ 6'7'',2019,2021,2
42,Chandler Hutchison,SF/PF,2.01/ 6'7'',2018,2021,3
0,Serge Ibaka,C,2.13/ 7'0'',2009,2021,12
1,Andre Iguodala,SF/PF,1.98/ 6'6'',2004,2021,17
2,Joe Ingles,SF/SG,2.01/ 6'7'',2014,2021,7
3,Brandon Ingram,SF/PF,2.01/ 6'7'',2016,2021,5
4,Kyrie Irving,SG/PG,1.88/ 6'2'',2011,2021,10
5,Jonathan Isaac,SF/PF,2.11/ 6'11'',2017,2020,3
6,Wesley Iwundu,SF,2.01/ 6'7'',2017,2021,4
0,Frank Jackson,SG/PG,1.91/ 6'3'',2018,2021,3
2,Josh Jackson,SF/PF,2.03/ 6'8'',2017,2021,4
3,Reggie Jackson,PG/SG,1.91/ 6'3'',2011,2021,10
4,Jaren Jackson Jr.,PF/C,2.11/ 6'11'',2018,2021,3
5,LeBron James,SF/PF,2.03/ 6'8'',2003,2021,18
7,Ty Jerome,PG/SG,1.96/ 6'5'',2019,2021,2
8,Isaiah Joe,SG,1.96/ 6'5'',2020,2021,1
9,Alize Johnson,SF/PF,2.01/ 6'7'',2018,2021,3
10,Cameron Johnson,PF/SF,2.03/ 6'8'',2019,2021,2
13,James Johnson,PF,2.01/ 6'7'',2009,2021,12
14,Keldon Johnson,PF/SF,1.96/ 6'5'',2019,2021,2
16,Stanley Johnson,PF,1.98/ 6'6'',2015,2021,6
17,Nikola Jokic,C,2.13/ 7'0'',2015,2021,6
18,Damian Jones,C,2.11/ 6'11'',2016,2021,5
21,Tre Jones,PG,1.91/ 6'3'',2020,2021,1
