,Name,Pos.,Height,From,To,Seasons
2,Chuma Okeke,PF/SF,2.03/ 6'8'',2020,2021,1
3,Josh Okogie,SF/SG,1.93/ 6'4'',2018,2021,3
4,Onyeka Okongwu,C,2.06/ 6'9'',2020,2021,1
5,Isaac Okoro,SF/SG,1.98/ 6'6'',2020,2021,1
6,KZ Okpala,SF/PF,2.03/ 6'8'',2019,2021,2
7,Victor Oladipo,SG/PG,1.93/ 6'4'',2013,2021,8
8,Cameron Oliver,PF,2.03/ 6'8'',2020,2021,1
9,Kelly Olynyk,C/PF,2.11/ 6'11'',2013,2021,8
11,Royce O'Neale,PF/SF,1.93/ 6'4'',2017,2021,4
12,Miye Oni,SF/SG,1.96/ 6'5'',2019,2021,2
13,Cedi Osman,SF,2.01/ 6'7'',2017,2021,4
14,Daniel Oturu,C,2.08/ 6'10'',2020,2021,1
15,Kelly Oubre,SF/SG,2.01/ 6'7'',2015,2021,6
1,Jabari Parker,PF,2.03/ 6'8'',2014,2021,7
2,Eric Paschall,C/PF,1.98/ 6'6'',2019,2021,2
3,Patrick Patterson,PF/C,2.03/ 6'8'',2010,2021,11
4,Chris Paul,PG,1.85/ 6'1'',2005,2021,16
5,Cameron Payne,PG,1.91/ 6'3'',2015,2021,6
6,Elfrid Payton,PG,1.91/ 6'3'',2014,2021,7
7,Gary Payton II,SG/PG,1.91/ 6'3'',2016,2021,5
8,Mason Plumlee,C,2.11/ 6'11'',2013,2021,8
9,Jakob Poeltl,C,2.16/ 7'1'',2016,2021,5
10,Aleksej Pokusevski,SF/PF,2.13/ 7'0'',2020,2021,1
11,Jordan Poole,PG/SG,1.93/ 6'4'',2019,2021,2
12,Otto Porter,SF/PF,2.03/ 6'8'',2013,2021,8
13,Kevin Porter Jr.,SG/PG,1.93/ 6'4'',2019,2021,2
14,Michael Porter Jr.,SF/PF,2.08/ 6'10'',2019,2021,2
15,Bobby Portis,PF/C,2.08/ 6'10'',2015,2021,6
16,Kristaps Porzingis,PF/C,2.21/ 7'3'',2015,2021,5
17,Dwight Powell,C,2.08/ 6'10'',2014,2021,7
18,Norman Powell,SF/SG,1.91/ 6'3'',2015,2021,6
21,Taurean Prince,PF/SF,2.01/ 6'7'',2016,2021,5
22,Payton Pritchard,PG,1.88/ 6'2'',2020,2021,1
1,Immanuel Quickley,PG/SG,1.91/ 6'3'',2020,2021,1
0,Jahmi'us Ramsey,SG/PG,1.93/ 6'4'',2020,2021,1
1,Julius Randle,PF,2.03/ 6'8'',2014,2021,7
3,Cam Reddish,SF/SG,2.03/ 6'8'',2019,2021,2
4,Paul Reed,PF,2.06/ 6'9'',2020,2021,1
5,Naz Reid,C/PF,2.06/ 6'9'',2019,2021,2
6,Nick Richards,C,2.11/ 6'11'',2020,2021,1
7,Josh Richardson,SG/SF,1.96/ 6'5'',2015,2021,6
8,Grant Riller,PG/SG,1.91/ 6'3'',2020,2021,1
9,Austin Rivers,SG/PG,1.91/ 6'3'',2012,2021,9
10,Duncan Robinson,SG/SF,2.01/ 6'7'',2018,2021,3
11,Justin Robinson,PG/SG,1.85/ 6'1'',2019,2021,2
12,Mitchell Robinson,C,2.13/ 7'0'',2018,2021,3
14,Isaiah Roby,C/PF,2.03/ 6'8'',2019,2021,2
15,Rajon Rondo,PG,1.85/ 6'1'',2006,2021,15
16,Derrick Rose,SG/PG,1.88/ 6'2'',2008,2021,12
17,Terrence Ross,SF/SG,1.98/ 6'6'',2012,2021,9
18,Terry Rozier,SG/PG,1.85/ 6'1'',2015,2021,6
19,Ricky Rubio,PG,1.91/ 6'3'',2011,2021,10
20,D'Angelo Russell,PG/SG,1.93/ 6'4'',2015,2021,6
0,Domantas Sabonis,PF/C,2.11/ 6'11'',2016,2021,5
1,Luka Samanic,PF,2.08/ 6'10'',2019,2021,2
2,Dario Saric,C/PF,2.08/ 6'10'',2016,2021,5
3,Tomas Satoransky,PG/SG,2.01/ 6'7'',2016,2021,5
4,Dennis Schröder,PG/SG,1.85/ 6'1'',2013,2021,8
5,Jay Scrubb,SF/SG,1.98/ 6'6'',2020,2021,1
7,Collin Sexton,SG/PG,1.85/ 6'1'',2018,2021,3
8,Landry Shamet,SG/SF,1.93/ 6'4'',2018,2021,3
10,Pascal Siakam,PF,2.06/ 6'9'',2016,2021,5
11,Ben Simmons,PG,2.07/ 6'9'',2017,2021,4
13,Anfernee Simons,PG/SG,1.91/ 6'3'',2018,2021,3
15,Marcus Smart,SG/PG,1.91/ 6'3'',2014,2021,7
17,Ish Smith,PG,1.83/ 6'0'',2010,2021,11
18,Jalen Smith,PF/C,2.08/ 6'10'',2020,2021,1
19,Dennis Smith Jr.,PG,1.88/ 6'2'',2017,2021,4
20,Tony Snell,SF/SG,1.98/ 6'6'',2013,2021,8
22,Lamar Stevens,SF,2.03/ 6'8'',2020,2021,1
23,Isaiah Stewart,C,2.06/ 6'9'',2020,2021,1
24,Max Strus,SG/SF,1.98/ 6'6'',2019,2021,2
26,Edmond Sumner,SF/SG,1.93/ 6'4'',2017,2021,4
0,Jae'Sean Tate,SF/PF,1.93/ 6'4'',2020,2021,1
1,Jayson Tatum,PF/SF,2.03/ 6'8'',2017,2021,4
2,Garrett Temple,SG/SF,1.96/ 6'5'',2009,2021,11
3,Emanuel Terry,PF/C,2.06/ 6'9'',2018,2019,1
4,Tyrell Terry,PG,1.91/ 6'3'',2020,2021,1
5,Daniel Theis,PF/C,2.03/ 6'8'',2017,2021,4
6,Brodric Thomas,SG,1.96/ 6'5'',2020,2021,1
8,Khyri Thomas,SG,1.91/ 6'3'',2018,2021,3
9,Matt Thomas,SG,1.93/ 6'4'',2019,2021,2
10,Klay Thompson,SG/SF,1.98/ 6'6'',2011,2019,8
11,Tristan Thompson,C/PF,2.06/ 6'9'',2011,2021,10
13,Matisse Thybulle,SF,1.96/ 6'5'',2019,2021,2
14,Killian Tillie,PF/C,2.08/ 6'10'',2020,2021,1
15,Xavier Tillman,PF/C,2.03/ 6'8'',2020,2021,1
17,Obi Toppin,PF,2.06/ 6'9'',2020,2021,1
18,Juan Toscano,PF/SF,1.98/ 6'6'',2019,2021,2
19,Karl-Anthony Towns,C,2.11/ 6'11'',2015,2021,6
20,Gary Trent Jr.,SG/SF,1.96/ 6'5'',2018,2021,3
21,P.J. Tucker,PF,1.96/ 6'5'',2006,2021,10
22,Myles Turner,C,2.11/ 6'11'',2015,2021,6
0,Jonas Valanciunas,C,2.11/ 6'11'',2012,2021,9
1,Denzel Valentine,SF/SG,1.93/ 6'4'',2016,2021,4
2,Jarred Vanderbilt,PF/C,2.06/ 6'9'',2018,2021,3
3,Fred VanVleet,PG/SG,1.85/ 6'1'',2016,2021,5
4,Devin Vassell,SF/SG,2.01/ 6'7'',2020,2021,1
6,Gabe Vincent,PG/SG,1.91/ 6'3'',2019,2021,2
7,Nikola Vucevic,C,2.11/ 6'11'',2011,2021,10
0,Dean Wade,PF,2.06/ 6'9'',2019,2021,2
2,Moritz Wagner,PF/C,2.11/ 6'11'',2018,2021,3
4,Kemba Walker,PG,1.83/ 6'0'',2011,2021,10
5,Lonnie Walker,SG,1.96/ 6'5'',2018,2021,3
6,John Wall,PG,1.93/ 6'4'',2010,2021,10
7,Derrick Walton,PG,1.83/ 6'0'',2017,2020,2
8,T.J. Warren,SF/PF,2.03/ 6'8'',2014,2021,7
9,P.J. Washington,PF/C,2.01/ 6'7'',2019,2021,2
11,Yuta Watanabe,PF/SF,2.03/ 6'8'',2018,2021,3
12,Tremont Waters,PG,1.78/ 5'10'',2019,2021,2
13,Paul Watson,SG/SF,1.98/ 6'6'',2019,2021,2
