Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Tom Brady (19640018),Tom Brady,19640018,CPT,18600,TB@PHI 10/14/2021 08:20PM ET,TB,29.26
QB,Jalen Hurts (19640019),Jalen Hurts,19640019,CPT,17700,TB@PHI 10/14/2021 08:20PM ET,PHI,26.24
WR,Mike Evans (19640020),Mike Evans,19640020,CPT,15300,TB@PHI 10/14/2021 08:20PM ET,TB,19.66
WR,Chris Godwin (19640021),Chris Godwin,19640021,CPT,14100,TB@PHI 10/14/2021 08:20PM ET,TB,17.16
WR,DeVonta Smith (19640022),DeVonta Smith,19640022,CPT,13200,TB@PHI 10/14/2021 08:20PM ET,PHI,13.28
QB,Tom Brady (19640069),Tom Brady,19640069,FLEX,12400,TB@PHI 10/14/2021 08:20PM ET,TB,29.26
WR,Antonio Brown (19640023),Antonio Brown,19640023,CPT,12300,TB@PHI 10/14/2021 08:20PM ET,TB,19.28
QB,Jalen Hurts (19640070),Jalen Hurts,19640070,FLEX,11800,TB@PHI 10/14/2021 08:20PM ET,PHI,26.24
RB,Leonard Fournette (19640024),Leonard Fournette,19640024,CPT,11700,TB@PHI 10/14/2021 08:20PM ET,TB,13.36
TE,Rob Gronkowski (19640025),Rob Gronkowski,19640025,CPT,10500,TB@PHI 10/14/2021 08:20PM ET,TB,19.47
WR,Mike Evans (19640071),Mike Evans,19640071,FLEX,10200,TB@PHI 10/14/2021 08:20PM ET,TB,19.66
RB,Miles Sanders (19640026),Miles Sanders,19640026,CPT,9900,TB@PHI 10/14/2021 08:20PM ET,PHI,10.1
WR,Chris Godwin (19640072),Chris Godwin,19640072,FLEX,9400,TB@PHI 10/14/2021 08:20PM ET,TB,17.16
QB,Blaine Gabbert (19640027),Blaine Gabbert,19640027,CPT,9000,TB@PHI 10/14/2021 08:20PM ET,TB,0.62
QB,Gardner Minshew II (19640028),Gardner Minshew II,19640028,CPT,9000,TB@PHI 10/14/2021 08:20PM ET,PHI,0
QB,Kyle Trask (19640029),Kyle Trask,19640029,CPT,9000,TB@PHI 10/14/2021 08:20PM ET,TB,0
QB,Joe Flacco (19640030),Joe Flacco,19640030,CPT,9000,TB@PHI 10/14/2021 08:20PM ET,PHI,0
