Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,DeVonta Smith (19640073),DeVonta Smith,19640073,FLEX,8800,TB@PHI 10/14/2021 08:20PM ET,PHI,13.28
TE,Dallas Goedert (19640031),Dallas Goedert,19640031,CPT,8400,TB@PHI 10/14/2021 08:20PM ET,PHI,9.72
WR,Antonio Brown (19640074),Antonio Brown,19640074,FLEX,8200,TB@PHI 10/14/2021 08:20PM ET,TB,19.28
RB,Leonard Fournette (19640075),Leonard Fournette,19640075,FLEX,7800,TB@PHI 10/14/2021 08:20PM ET,TB,13.36
RB,Giovani Bernard (19640032),Giovani Bernard,19640032,CPT,7800,TB@PHI 10/14/2021 08:20PM ET,TB,9.6
WR,Jalen Reagor (19640033),Jalen Reagor,19640033,CPT,7500,TB@PHI 10/14/2021 08:20PM ET,PHI,7.64
TE,Cameron Brate (19640034),Cameron Brate,19640034,CPT,7200,TB@PHI 10/14/2021 08:20PM ET,TB,3.28
TE,Rob Gronkowski (19640076),Rob Gronkowski,19640076,FLEX,7000,TB@PHI 10/14/2021 08:20PM ET,TB,19.47
WR,Quez Watkins (19640035),Quez Watkins,19640035,CPT,6900,TB@PHI 10/14/2021 08:20PM ET,PHI,8.54
RB,Miles Sanders (19640077),Miles Sanders,19640077,FLEX,6600,TB@PHI 10/14/2021 08:20PM ET,PHI,10.1
K,Jake Elliott (19640036),Jake Elliott,19640036,CPT,6600,TB@PHI 10/14/2021 08:20PM ET,PHI,7
K,Ryan Succop (19640037),Ryan Succop,19640037,CPT,6300,TB@PHI 10/14/2021 08:20PM ET,TB,8.8
K,Jose Borregales (19640038),Jose Borregales,19640038,CPT,6300,TB@PHI 10/14/2021 08:20PM ET,TB,0
QB,Blaine Gabbert (19640078),Blaine Gabbert,19640078,FLEX,6000,TB@PHI 10/14/2021 08:20PM ET,TB,0.62
QB,Gardner Minshew II (19640079),Gardner Minshew II,19640079,FLEX,6000,TB@PHI 10/14/2021 08:20PM ET,PHI,0
QB,Kyle Trask (19640080),Kyle Trask,19640080,FLEX,6000,TB@PHI 10/14/2021 08:20PM ET,TB,0
QB,Joe Flacco (19640081),Joe Flacco,19640081,FLEX,6000,TB@PHI 10/14/2021 08:20PM ET,PHI,0
DST,Buccaneers  (19640039),Buccaneers ,19640039,CPT,5700,TB@PHI 10/14/2021 08:20PM ET,TB,7.6
TE,Dallas Goedert (19640082),Dallas Goedert,19640082,FLEX,5600,TB@PHI 10/14/2021 08:20PM ET,PHI,9.72
RB,Giovani Bernard (19640083),Giovani Bernard,19640083,FLEX,5200,TB@PHI 10/14/2021 08:20PM ET,TB,9.6
WR,Jalen Reagor (19640084),Jalen Reagor,19640084,FLEX,5000,TB@PHI 10/14/2021 08:20PM ET,PHI,7.64
TE,Cameron Brate (19640085),Cameron Brate,19640085,FLEX,4800,TB@PHI 10/14/2021 08:20PM ET,TB,3.28
TE,Zach Ertz (19640040),Zach Ertz,19640040,CPT,4800,TB@PHI 10/14/2021 08:20PM ET,PHI,7.2
WR,Quez Watkins (19640086),Quez Watkins,19640086,FLEX,4600,TB@PHI 10/14/2021 08:20PM ET,PHI,8.54
K,Jake Elliott (19640087),Jake Elliott,19640087,FLEX,4400,TB@PHI 10/14/2021 08:20PM ET,PHI,7
K,Ryan Succop (19640088),Ryan Succop,19640088,FLEX,4200,TB@PHI 10/14/2021 08:20PM ET,TB,8.8
K,Jose Borregales (19640089),Jose Borregales,19640089,FLEX,4200,TB@PHI 10/14/2021 08:20PM ET,TB,0
DST,Eagles  (19640041),Eagles ,19640041,CPT,4200,TB@PHI 10/14/2021 08:20PM ET,PHI,6
DST,Buccaneers  (19640090),Buccaneers ,19640090,FLEX,3800,TB@PHI 10/14/2021 08:20PM ET,TB,7.6
RB,Kenneth Gainwell (19640042),Kenneth Gainwell,19640042,CPT,3600,TB@PHI 10/14/2021 08:20PM ET,PHI,10.04
TE,Zach Ertz (19640091),Zach Ertz,19640091,FLEX,3200,TB@PHI 10/14/2021 08:20PM ET,PHI,7.2
DST,Eagles  (19640092),Eagles ,19640092,FLEX,2800,TB@PHI 10/14/2021 08:20PM ET,PHI,6
RB,Ronald Jones II (19640043),Ronald Jones II,19640043,CPT,2700,TB@PHI 10/14/2021 08:20PM ET,TB,3.84
RB,Kenneth Gainwell (19640093),Kenneth Gainwell,19640093,FLEX,2400,TB@PHI 10/14/2021 08:20PM ET,PHI,10.04
TE,O.J. Howard (19640044),O.J. Howard,19640044,CPT,2100,TB@PHI 10/14/2021 08:20PM ET,TB,1.82
RB,Ronald Jones II (19640094),Ronald Jones II,19640094,FLEX,1800,TB@PHI 10/14/2021 08:20PM ET,TB,3.84
WR,Tyler Johnson (19640045),Tyler Johnson,19640045,CPT,1500,TB@PHI 10/14/2021 08:20PM ET,TB,3.6
TE,O.J. Howard (19640095),O.J. Howard,19640095,FLEX,1400,TB@PHI 10/14/2021 08:20PM ET,TB,1.82
WR,Greg Ward (19640046),Greg Ward,19640046,CPT,1200,TB@PHI 10/14/2021 08:20PM ET,PHI,3.4
WR,Tyler Johnson (19640096),Tyler Johnson,19640096,FLEX,1000,TB@PHI 10/14/2021 08:20PM ET,TB,3.6
WR,Jaelon Darden (19640047),Jaelon Darden,19640047,CPT,900,TB@PHI 10/14/2021 08:20PM ET,TB,1
WR,Greg Ward (19640097),Greg Ward,19640097,FLEX,800,TB@PHI 10/14/2021 08:20PM ET,PHI,3.4
WR,Jaelon Darden (19640098),Jaelon Darden,19640098,FLEX,600,TB@PHI 10/14/2021 08:20PM ET,TB,1
TE,Codey McElroy (19640048),Codey McElroy,19640048,CPT,600,TB@PHI 10/14/2021 08:20PM ET,TB,0.5
TE,Codey McElroy (19640099),Codey McElroy,19640099,FLEX,400,TB@PHI 10/14/2021 08:20PM ET,TB,0.5
WR,Travis Fulgham (19640054),Travis Fulgham,19640054,CPT,300,-,MIA,0
TE,Nick Eubanks (19640060),Nick Eubanks,19640060,CPT,300,-,FA,0
QB,Ryan Griffin (19640049),Ryan Griffin,19640049,CPT,300,TB@PHI 10/14/2021 08:20PM ET,TB,0
RB,Boston Scott (19640050),Boston Scott,19640050,CPT,300,TB@PHI 10/14/2021 08:20PM ET,PHI,0.5
WR,Travis Jonsen (19640051),Travis Jonsen,19640051,CPT,300,TB@PHI 10/14/2021 08:20PM ET,TB,0
TE,Deon Yelder (19640052),Deon Yelder,19640052,CPT,300,TB@PHI 10/14/2021 08:20PM ET,TB,0
WR,John Hurst (19640053),John Hurst,19640053,CPT,300,TB@PHI 10/14/2021 08:20PM ET,TB,0
RB,Darwin Thompson (19640055),Darwin Thompson,19640055,CPT,300,TB@PHI 10/14/2021 08:20PM ET,TB,0
WR,John Hightower (19640056),John Hightower,19640056,CPT,300,TB@PHI 10/14/2021 08:20PM ET,PHI,0
RB,Jason Huntley (19640057),Jason Huntley,19640057,CPT,300,TB@PHI 10/14/2021 08:20PM ET,PHI,0
RB,Jordan Howard (19640058),Jordan Howard,19640058,CPT,300,TB@PHI 10/14/2021 08:20PM ET,PHI,0
WR,KeeSean Johnson (19640059),KeeSean Johnson,19640059,CPT,300,TB@PHI 10/14/2021 08:20PM ET,PHI,0
WR,Jaydon Mickens (19640061),Jaydon Mickens,19640061,CPT,300,TB@PHI 10/14/2021 08:20PM ET,TB,0
WR,JJ Arcega-Whiteside (19640062),JJ Arcega-Whiteside,19640062,CPT,300,TB@PHI 10/14/2021 08:20PM ET,PHI,0
RB,Ke'Shawn Vaughn (19640063),Ke'Shawn Vaughn,19640063,CPT,300,TB@PHI 10/14/2021 08:20PM ET,TB,0
TE,Jack Stoll (19640064),Jack Stoll,19640064,CPT,300,TB@PHI 10/14/2021 08:20PM ET,PHI,0
WR,Scotty Miller (19640065),Scotty Miller,19640065,CPT,300,TB@PHI 10/14/2021 08:20PM ET,TB,1.03
WR,Justin Watson (19640066),Justin Watson,19640066,CPT,300,TB@PHI 10/14/2021 08:20PM ET,TB,0
TE,Jason Croom (19640067),Jason Croom,19640067,CPT,300,TB@PHI 10/14/2021 08:20PM ET,PHI,0
TE,Tyree Jackson (19640068),Tyree Jackson,19640068,CPT,300,TB@PHI 10/14/2021 08:20PM ET,PHI,0
WR,Travis Fulgham (19640105),Travis Fulgham,19640105,FLEX,200,-,MIA,0
TE,Nick Eubanks (19640111),Nick Eubanks,19640111,FLEX,200,-,FA,0
QB,Ryan Griffin (19640100),Ryan Griffin,19640100,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0
RB,Boston Scott (19640101),Boston Scott,19640101,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0.5
WR,Travis Jonsen (19640102),Travis Jonsen,19640102,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0
TE,Deon Yelder (19640103),Deon Yelder,19640103,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0
WR,John Hurst (19640104),John Hurst,19640104,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0
RB,Darwin Thompson (19640106),Darwin Thompson,19640106,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0
WR,John Hightower (19640107),John Hightower,19640107,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0
RB,Jason Huntley (19640108),Jason Huntley,19640108,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0
RB,Jordan Howard (19640109),Jordan Howard,19640109,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0
WR,KeeSean Johnson (19640110),KeeSean Johnson,19640110,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0
WR,Jaydon Mickens (19640112),Jaydon Mickens,19640112,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0
WR,JJ Arcega-Whiteside (19640113),JJ Arcega-Whiteside,19640113,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0
RB,Ke'Shawn Vaughn (19640114),Ke'Shawn Vaughn,19640114,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0
TE,Jack Stoll (19640115),Jack Stoll,19640115,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0
WR,Scotty Miller (19640116),Scotty Miller,19640116,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,1.03
WR,Justin Watson (19640117),Justin Watson,19640117,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,TB,0
TE,Jason Croom (19640118),Jason Croom,19640118,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0
TE,Tyree Jackson (19640119),Tyree Jackson,19640119,FLEX,200,TB@PHI 10/14/2021 08:20PM ET,PHI,0
