"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"188","Freddie Swain","SEA","wr","9","@PIT","6.9","0","0","0","0","0","0","0.8774","5.1384","0.0244","3.3801","2.371","28.982","0.1727","0.0762","0.0381","0.0086","38.138","0.0318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189","Pharaoh Brown","HST","te","10","@IND","4.4","0","0","0","0","0","0","0","0","0","2.4376","1.761","18.9836","0.1287","0.0185","0.0093","0.0035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"190","Albert Okwuegbunam","DEN","te","11","LV","4.4","0","0","0","0","0","0","0","0","0","2.4685","1.7371","19.0148","0.1327","0.0239","0.0119","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"191","Josh Reynolds","TEN","wr","13","BUF","6.8","0","0","0","0","0","0","0.0999","0.4969","0.003","3.6665","2.4658","33.1636","0.1598","0.0294","0.0147","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"192","Quez Watkins","PHI","wr","14","TB","6.6","0","0","0","0","0","0","0.0867","0.5139","0.0029","3.6935","2.5176","32.0832","0.1401","0.0272","0.0136","0.0035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193","Jack Doyle","IND","te","14","HST","4.1","0","0","0","0","0","0","0","0","0","2.1826","1.5962","15.7558","0.156","0.0229","0.0115","0.0088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","Carlos Hyde","JAX","rb","7","MIA","3.3","0","0","0","0","0","0","4.2705","16.1254","0.0892","0.8263","0.6673","4.2116","0.0229","0.0535","0.0268","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195","Daniel Jones","NYG","qb","10","LA","15","18.0914","28.1216","210.0035","1.2147","0.7626","2.5782","3.147","20.2277","0.1213","0","0","0","0","0.7899","0.395","0.0609","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196","O.J. Howard","TB","te","9","@PHI","4","0","0","0","0","0","0","0","0","0","1.8792","1.2747","17.3163","0.1657","0.0162","0.0081","0.0044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"197","Phillip Lindsay","HST","rb","10","@IND","3.2","0","0","0","0","0","0","4.9721","18.9831","0.0955","0.4875","0.3927","2.3062","0.0116","0.0147","0.0073","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","Devin Duvernay","BLT","wr","8","LAC","6.4","0","0","0","0","0","0","0.1397","0.8777","0.005","3.3875","2.4574","28.7616","0.1576","0.1162","0.0581","0.0068","88.3636","0.0683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"199","Demetrius Harris","ARZ","te","12","@CLV","3.8","0","0","0","0","0","0","0","0","0","2.2806","1.4845","12.6773","0.1648","0.0152","0.0076","0.0085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","Will Dissly","SEA","te","9","@PIT","3.7","0","0","0","0","0","0","0","0","0","1.8437","1.3722","15.0707","0.1335","0.0202","0.0101","0.0035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201","DeSean Jackson","LA","wr","11","@NYG","6.1","0","0","0","0","0","0","0.0503","0.1276","0.0026","2.7713","1.7834","31.1836","0.1897","0.0182","0.0091","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
