PlayerName,PointCostRatio
Maxi Kleber ,19.039356756144308
Tyler Herro ,19.06143821763184
P.J. Tucker ,19.131210213553455
Tim Hardaway Jr. ,19.14311279382944
Gary Harris ,19.145823252456044
Glenn Robinson III ,19.24456690889599
Doug McDermott ,19.35308639977385
Lou Williams ,19.423556043008027
Ed Davis ,19.431277966662233
Javonte Green ,19.4880075370401
Zeke Nnaji ,19.492724063377235
Michael Carter-Williams ,19.503425939322725
Jusuf Nurkić ,19.53841495774911
Jakob Poeltl ,19.633243151983866
Seth Curry ,19.637787998825246
Marvin Bagley III ,19.65404997352638
Mason Plumlee ,19.662143624320198
Dwayne Bacon ,19.670971261890223
Tyus Jones ,19.7225518914377
Gary Clark ,19.781354906180706
Garrett Temple ,19.805907059410572
Kevin Love ,19.890670232315557
Ryan Arcidiacono ,19.897731305291018
DeAndre Jordan ,19.90112659850936
Grant Williams ,19.91749839862473
Nerlens Noel ,19.95061485460248
P.J. Washington ,19.98431362367961
LaMarcus Aldridge ,20.010619946816632
Keldon Johnson ,20.05290125622237
Thomas Bryant ,20.11058611930768
Ish Smith ,20.113751739740866
Bojan Bogdanović ,20.142610703343163
Jeff Green ,20.143612306814447
Tre Jones ,20.181091372729163
Elfrid Payton ,20.182171729972566
Jarrell Brantley ,20.21577755212589
Larry Nance Jr. ,20.240036422942932
Mike Scott ,20.240390874175045
Kentavious Caldwell-Pope ,20.24360344521686
Shake Milton ,20.243899698994415
JaMychal Green ,20.26279853339605
Josh Okogie ,20.289264798140564
Matthew Dellavedova ,20.306179406642467
T.J. McConnell ,20.38147319980341
Enes Kanter ,20.386049749416163
Rodney Hood ,20.389014449936614
Jordan McLaughlin ,20.419827985648823
George Hill ,20.484185619340042
Danuel House ,20.545411498207834
Patrick Williams ,20.604537834111483
Kevin Knox ,20.617028547103867
Dāvis Bertāns ,20.63346593117509
Deividas Sirvydis ,20.64753003710121
Bogdan Bogdanović ,20.65560808527265
Josh Jackson ,20.681482281946096
Bobby Portis ,20.687331654994313
Marcus Morris ,20.74049978673298
Andre Iguodala ,20.75055638828152
Carmelo Anthony ,20.761001681595623
Pat Connaughton ,20.827221371400782
Jahmi'us Ramsey ,20.860392301467712
Vlatko Čančar ,20.94579247755077
Derrick Jones Jr. ,20.94922953636034
Otto Porter ,21.014961841181954
Damion Lee ,21.042837557291282
Marc Gasol ,21.0489668541446
Josh Hart ,21.139030333795247
Tomáš Satoranský ,21.166013285188136
Damyean Dotson ,21.19062490868679
Patrick Patterson ,21.221568562931097
Naz Reid ,21.23719404487673
Cam Reddish ,21.25992892732096
Kelly Olynyk ,21.305469012431455
Evan Fournier ,21.31766252579991
Tony Snell ,21.43929755564568
Mike Muscala ,21.458750938422813
Quinndary Weatherspoon ,21.57604418325433
Isaac Okoro ,21.619089165146463
Langston Galloway ,21.64935583635551
Lonnie Walker ,21.649954622205524
Nicolò Melli ,21.686481935693777
